Loading val dataloader successfully! -- 10.56366491317749
Loading Train dataloader successfully! -- 42.6138916015625
Starting training process...
Epoch: [0][0/510]	Time 14.840s (14.840s)	Speed 2.2 samples/s	Data 11.492s (11.492s)	Loss 360.32742 (360.32742)	Accuracy 0.469 (0.469)	 Cls Loss: 0.69492	 loss_cstency: 295.72984	 loss_hsic: 0.00501
Epoch: [0][5/510]	Time 0.322s (2.746s)	Speed 99.3 samples/s	Data 0.161s (2.051s)	Loss 357.73199 (354.50423)	Accuracy 0.500 (0.484)	 Cls Loss: 0.69321	 loss_cstency: 286.38905	 loss_hsic: 0.00502
Epoch: [0][10/510]	Time 0.335s (1.972s)	Speed 95.4 samples/s	Data 0.172s (1.503s)	Loss 346.42313 (352.29234)	Accuracy 0.469 (0.500)	 Cls Loss: 0.69506	 loss_cstency: 252.58336	 loss_hsic: 0.00485
Epoch: [0][15/510]	Time 0.340s (1.808s)	Speed 94.1 samples/s	Data 0.178s (1.433s)	Loss 317.52310 (343.96445)	Accuracy 0.469 (0.494)	 Cls Loss: 0.69451	 loss_cstency: 223.00104	 loss_hsic: 0.00528
Epoch: [0][20/510]	Time 0.331s (1.499s)	Speed 96.8 samples/s	Data 0.167s (1.174s)	Loss 309.62866 (335.99095)	Accuracy 0.531 (0.493)	 Cls Loss: 0.69297	 loss_cstency: 205.50459	 loss_hsic: 0.00506
Epoch: [0][25/510]	Time 0.319s (1.455s)	Speed 100.2 samples/s	Data 0.156s (1.160s)	Loss 281.78723 (328.12570)	Accuracy 0.469 (0.492)	 Cls Loss: 0.69170	 loss_cstency: 203.14747	 loss_hsic: 0.00489
Epoch: [0][30/510]	Time 1.739s (1.437s)	Speed 18.4 samples/s	Data 1.575s (1.163s)	Loss 304.23096 (323.58932)	Accuracy 0.469 (0.493)	 Cls Loss: 0.69479	 loss_cstency: 196.02887	 loss_hsic: 0.00483
Epoch: [0][35/510]	Time 3.880s (1.382s)	Speed 8.2 samples/s	Data 3.698s (1.122s)	Loss 293.19342 (320.61798)	Accuracy 0.562 (0.497)	 Cls Loss: 0.69373	 loss_cstency: 204.02148	 loss_hsic: 0.00464
Epoch: [0][40/510]	Time 0.319s (1.271s)	Speed 100.2 samples/s	Data 0.156s (1.023s)	Loss 320.01440 (318.61579)	Accuracy 0.438 (0.497)	 Cls Loss: 0.69461	 loss_cstency: 195.45090	 loss_hsic: 0.00465
Epoch: [0][45/510]	Time 0.320s (1.260s)	Speed 99.9 samples/s	Data 0.158s (1.020s)	Loss 294.27997 (315.53759)	Accuracy 0.469 (0.499)	 Cls Loss: 0.69369	 loss_cstency: 188.71252	 loss_hsic: 0.00379
Epoch: [0][50/510]	Time 1.030s (1.266s)	Speed 31.1 samples/s	Data 0.867s (1.034s)	Loss 281.32571 (313.16006)	Accuracy 0.469 (0.502)	 Cls Loss: 0.69182	 loss_cstency: 179.76405	 loss_hsic: 0.00521
