Flip Test is used --- False
Turning on evaluation mode...
Loading weight ... TrainedModels/Baseline_alt.pth
Using metric-base binary for evaluation!
Video level evaluation mode: True
Dataset loading time --- 33.268240451812744
Inferencing time --- 327.30499625205994
Inferencing time --- 327.47245383262634
Inferencing time --- 327.6255581378937
Inferencing time --- 327.75957465171814
Inferencing time --- 329.888619184494
Inferencing time --- 330.0352683067322
Inferencing time --- 336.1361680030823
Inferencing time --- 345.2451648712158
Inferencing time --- 345.4121425151825
Inferencing time --- 345.54853320121765
Inferencing time --- 345.67618060112
Inferencing time --- 345.80806970596313
Inferencing time --- 345.9376347064972
Inferencing time --- 346.06665992736816
Inferencing time --- 355.8851776123047
Inferencing time --- 356.0522651672363
Inferencing time --- 356.18885707855225
Inferencing time --- 356.31908655166626
Inferencing time --- 356.4519181251526
Inferencing time --- 356.5827820301056
Inferencing time --- 356.71438574790955
Inferencing time --- 366.880779504776
Inferencing time --- 367.04807686805725
Inferencing time --- 367.19491052627563
Inferencing time --- 367.32448720932007
Inferencing time --- 367.45746302604675
Inferencing time --- 367.585321187973
Inferencing time --- 367.71705532073975
Inferencing time --- 381.3631043434143
Inferencing time --- 381.5311403274536
Inferencing time --- 381.6677141189575
Inferencing time --- 381.79671120643616
Inferencing time --- 381.9298233985901
Inferencing time --- 382.0583612918854
Inferencing time --- 382.18940114974976
Inferencing time --- 391.5063588619232
Inferencing time --- 391.6650619506836
Inferencing time --- 391.81562185287476
Inferencing time --- 391.9478714466095
Inferencing time --- 392.07831501960754
Inferencing time --- 392.211797952652
Inferencing time --- 392.34263586997986
Inferencing time --- 400.9615149497986
Inferencing time --- 401.12934947013855
Inferencing time --- 401.2824878692627
Inferencing time --- 401.4119234085083
Inferencing time --- 401.5419852733612
Inferencing time --- 401.6755783557892
Inferencing time --- 401.8047800064087
Inferencing time --- 410.9279215335846
Inferencing time --- 411.0869345664978
Inferencing time --- 411.2186088562012
Inferencing time --- 411.34915947914124
Inferencing time --- 411.4796984195709
Inferencing time --- 411.6096794605255
Inferencing time --- 411.7404968738556
Inferencing time --- 421.2793939113617
Inferencing time --- 421.44686913490295
Inferencing time --- 421.5935254096985
Inferencing time --- 421.72177815437317
Inferencing time --- 421.8522446155548
Inferencing time --- 421.9899513721466
Inferencing time --- 422.1147298812866
Inferencing time --- 432.3388407230377
Inferencing time --- 432.50654339790344
Inferencing time --- 432.64434003829956
Inferencing time --- 432.7763087749481
Inferencing time --- 432.90730023384094
Inferencing time --- 433.03756761550903
Inferencing time --- 433.168568611145
Inferencing time --- 443.25332379341125
Inferencing time --- 443.4086813926697
Inferencing time --- 443.5441379547119
Inferencing time --- 443.6779761314392
Inferencing time --- 443.80765986442566
Inferencing time --- 443.94229650497437
Inferencing time --- 444.06753158569336
Inferencing time --- 453.7816822528839
Inferencing time --- 453.94957447052
Inferencing time --- 454.09461784362793
Inferencing time --- 454.2234363555908
Inferencing time --- 454.35490894317627
Inferencing time --- 454.4839458465576
Inferencing time --- 454.6153190135956
Inferencing time --- 463.7315046787262
Inferencing time --- 463.8888785839081
Inferencing time --- 464.0248119831085
Inferencing time --- 464.1570312976837
Inferencing time --- 464.2894320487976
Inferencing time --- 464.42304611206055
Inferencing time --- 464.5553615093231
Inferencing time --- 473.6285352706909
Inferencing time --- 473.7968325614929
Inferencing time --- 473.94756722450256
Inferencing time --- 474.07661175727844
Inferencing time --- 474.2061071395874
Inferencing time --- 474.3407235145569
Inferencing time --- 474.46853256225586
Inferencing time --- 484.165620803833
Inferencing time --- 484.3275752067566
Inferencing time --- 484.4643051624298
Inferencing time --- 484.5904428958893
Inferencing time --- 484.72077202796936
Inferencing time --- 484.8495273590088
Inferencing time --- 484.98118925094604
Inferencing time --- 494.9350688457489
Inferencing time --- 495.10265588760376
Inferencing time --- 495.2473647594452
Inferencing time --- 495.3771593570709
Inferencing time --- 495.50683879852295
Inferencing time --- 495.63644218444824
Inferencing time --- 495.76786971092224
Inferencing time --- 506.15986824035645
Inferencing time --- 506.3280415534973
Inferencing time --- 506.4805245399475
Inferencing time --- 506.6112861633301
Inferencing time --- 506.74066185951233
Inferencing time --- 506.8721423149109
Inferencing time --- 507.0019371509552
Inferencing time --- 516.1362771987915
Inferencing time --- 516.2905032634735
Inferencing time --- 516.4354667663574
Inferencing time --- 516.5697205066681
Inferencing time --- 516.7007880210876
Inferencing time --- 516.8305139541626
Inferencing time --- 516.9621143341064
Inferencing time --- 527.2861030101776
Inferencing time --- 527.4529449939728
Inferencing time --- 527.5866615772247
Inferencing time --- 527.7153182029724
Inferencing time --- 527.8474540710449
Inferencing time --- 527.9782381057739
Inferencing time --- 528.112868309021
Inferencing time --- 541.6179401874542
Inferencing time --- 541.771621465683
Inferencing time --- 541.9155254364014
Inferencing time --- 542.04905128479
Inferencing time --- 542.1795563697815
Inferencing time --- 542.3115220069885
Inferencing time --- 542.4397468566895
Inferencing time --- 552.2116446495056
Inferencing time --- 552.3791785240173
Inferencing time --- 552.5055248737335
Inferencing time --- 552.6379778385162
Inferencing time --- 552.7689650058746
Inferencing time --- 552.8984317779541
Inferencing time --- 553.0344326496124
Inferencing time --- 562.6574368476868
Inferencing time --- 562.8180055618286
Inferencing time --- 562.9515473842621
Inferencing time --- 563.0818445682526
Inferencing time --- 563.2131972312927
Inferencing time --- 563.3498430252075
Inferencing time --- 563.4811115264893
Inferencing time --- 572.1698389053345
Inferencing time --- 572.3378133773804
Inferencing time --- 572.4892933368683
Inferencing time --- 572.6208481788635
Inferencing time --- 572.7520322799683
Inferencing time --- 572.8823158740997
Inferencing time --- 573.0164172649384
Inferencing time --- 583.440267086029
Inferencing time --- 583.6089124679565
Inferencing time --- 583.7547705173492
Inferencing time --- 583.8828117847443
Inferencing time --- 584.0220987796783
Inferencing time --- 584.149420261383
Inferencing time --- 584.2769508361816
