Loading val dataloader successfully! -- 11.188063621520996
Loading Train dataloader successfully! -- 45.45161485671997
Starting training process...
Epoch: [0][120/510]	Time 1.767s (1.136s)	Speed 18.1 samples/s	Data 1.516s (0.858s)	Loss 387.71716 (438.30584)	Accuracy 0.500 (0.503)	 Cls Loss: 0.69396	 loss_cstency: 229.45208	 loss_hsic: 0.00235
Epoch: [0][125/510]	Time 0.608s (1.113s)	Speed 52.7 samples/s	Data 0.362s (0.837s)	Loss 383.12680 (436.24036)	Accuracy 0.531 (0.503)	 Cls Loss: 0.69106	 loss_cstency: 225.13951	 loss_hsic: 0.00284
Epoch: [0][130/510]	Time 0.570s (1.114s)	Speed 56.1 samples/s	Data 0.321s (0.838s)	Loss 407.38522 (434.29754)	Accuracy 0.438 (0.503)	 Cls Loss: 0.69047	 loss_cstency: 222.90294	 loss_hsic: 0.00229
Epoch: [0][135/510]	Time 0.556s (1.103s)	Speed 57.6 samples/s	Data 0.310s (0.828s)	Loss 412.47086 (432.79389)	Accuracy 0.594 (0.503)	 Cls Loss: 0.68963	 loss_cstency: 217.85881	 loss_hsic: 0.00240
Epoch: [0][140/510]	Time 1.943s (1.101s)	Speed 16.5 samples/s	Data 1.698s (0.828s)	Loss 376.57797 (430.91921)	Accuracy 0.562 (0.504)	 Cls Loss: 0.68808	 loss_cstency: 219.97018	 loss_hsic: 0.00229
Epoch: [0][145/510]	Time 0.557s (1.086s)	Speed 57.4 samples/s	Data 0.312s (0.813s)	Loss 399.31415 (429.85249)	Accuracy 0.469 (0.503)	 Cls Loss: 0.68416	 loss_cstency: 221.44090	 loss_hsic: 0.00225
Epoch: [0][150/510]	Time 1.395s (1.089s)	Speed 22.9 samples/s	Data 1.150s (0.818s)	Loss 381.99625 (428.12149)	Accuracy 0.562 (0.504)	 Cls Loss: 0.68766	 loss_cstency: 215.09294	 loss_hsic: 0.00223
Epoch: [0][155/510]	Time 0.903s (1.084s)	Speed 35.4 samples/s	Data 0.660s (0.813s)	Loss 398.00488 (426.52533)	Accuracy 0.469 (0.504)	 Cls Loss: 0.69586	 loss_cstency: 216.60246	 loss_hsic: 0.00248
Epoch: [0][160/510]	Time 0.551s (1.068s)	Speed 58.0 samples/s	Data 0.307s (0.798s)	Loss 348.00491 (424.85912)	Accuracy 0.531 (0.506)	 Cls Loss: 0.68491	 loss_cstency: 208.69533	 loss_hsic: 0.00227
Epoch: [0][165/510]	Time 0.555s (1.073s)	Speed 57.7 samples/s	Data 0.310s (0.804s)	Loss 360.53638 (422.92839)	Accuracy 0.562 (0.508)	 Cls Loss: 0.68622	 loss_cstency: 204.57114	 loss_hsic: 0.00233
Epoch: [0][170/510]	Time 0.575s (1.066s)	Speed 55.7 samples/s	Data 0.316s (0.798s)	Loss 360.90497 (420.93599)	Accuracy 0.562 (0.509)	 Cls Loss: 0.68131	 loss_cstency: 205.57369	 loss_hsic: 0.00227
Epoch: [0][175/510]	Time 2.203s (1.064s)	Speed 14.5 samples/s	Data 1.920s (0.796s)	Loss 349.53760 (419.28964)	Accuracy 0.562 (0.511)	 Cls Loss: 0.68787	 loss_cstency: 210.39215	 loss_hsic: 0.00254
Epoch: [0][180/510]	Time 0.549s (1.054s)	Speed 58.3 samples/s	Data 0.306s (0.786s)	Loss 354.09143 (417.54009)	Accuracy 0.562 (0.512)	 Cls Loss: 0.68215	 loss_cstency: 201.67857	 loss_hsic: 0.00239
Epoch: [0][185/510]	Time 0.952s (1.053s)	Speed 33.6 samples/s	Data 0.705s (0.785s)	Loss 352.10605 (416.10646)	Accuracy 0.656 (0.514)	 Cls Loss: 0.68384	 loss_cstency: 198.53268	 loss_hsic: 0.00283
