Loading val dataloader successfully! -- 12.215153455734253
Loading Train dataloader successfully! -- 46.75116562843323
Starting training process...
Epoch: [0][0/510]	Time 16.148s (16.148s)	Speed 2.0 samples/s	Data 12.466s (12.466s)	Loss 361.67950 (361.67950)	Accuracy 0.406 (0.406)	 Cls Loss: 0.69518	 loss_cstency: 279.82648	 loss_hsic: 0.05067
Epoch: [0][5/510]	Time 0.334s (2.990s)	Speed 95.9 samples/s	Data 0.171s (2.236s)	Loss 346.34299 (358.65021)	Accuracy 0.500 (0.484)	 Cls Loss: 0.69317	 loss_cstency: 298.95590	 loss_hsic: 0.05181
Epoch: [0][10/510]	Time 0.351s (2.240s)	Speed 91.1 samples/s	Data 0.189s (1.736s)	Loss 374.66064 (357.51234)	Accuracy 0.500 (0.491)	 Cls Loss: 0.69461	 loss_cstency: 272.42833	 loss_hsic: 0.04892
Epoch: [0][15/510]	Time 0.350s (1.988s)	Speed 91.5 samples/s	Data 0.185s (1.589s)	Loss 324.46252 (347.44674)	Accuracy 0.375 (0.490)	 Cls Loss: 0.69373	 loss_cstency: 233.77862	 loss_hsic: 0.05164
Epoch: [0][20/510]	Time 0.349s (1.617s)	Speed 91.6 samples/s	Data 0.182s (1.273s)	Loss 308.03610 (339.07434)	Accuracy 0.562 (0.485)	 Cls Loss: 0.69143	 loss_cstency: 214.71759	 loss_hsic: 0.04593
Epoch: [0][25/510]	Time 0.820s (1.589s)	Speed 39.0 samples/s	Data 0.648s (1.277s)	Loss 280.28040 (331.80978)	Accuracy 0.500 (0.494)	 Cls Loss: 0.69100	 loss_cstency: 198.08180	 loss_hsic: 0.05530
Epoch: [0][30/510]	Time 0.358s (1.573s)	Speed 89.4 samples/s	Data 0.180s (1.282s)	Loss 318.27643 (328.09845)	Accuracy 0.500 (0.498)	 Cls Loss: 0.69358	 loss_cstency: 202.00820	 loss_hsic: 0.04341
Epoch: [0][35/510]	Time 3.825s (1.506s)	Speed 8.4 samples/s	Data 3.635s (1.232s)	Loss 292.68076 (324.74686)	Accuracy 0.531 (0.501)	 Cls Loss: 0.69159	 loss_cstency: 207.83936	 loss_hsic: 0.05113
Epoch: [0][40/510]	Time 0.346s (1.410s)	Speed 92.6 samples/s	Data 0.181s (1.148s)	Loss 342.63449 (323.20534)	Accuracy 0.469 (0.503)	 Cls Loss: 0.69459	 loss_cstency: 190.24546	 loss_hsic: 0.04453
Epoch: [0][45/510]	Time 0.409s (1.396s)	Speed 78.3 samples/s	Data 0.245s (1.145s)	Loss 289.51221 (319.82713)	Accuracy 0.469 (0.501)	 Cls Loss: 0.69173	 loss_cstency: 185.21799	 loss_hsic: 0.05010
Epoch: [0][50/510]	Time 3.009s (1.407s)	Speed 10.6 samples/s	Data 2.822s (1.162s)	Loss 298.51617 (317.56259)	Accuracy 0.438 (0.504)	 Cls Loss: 0.69320	 loss_cstency: 188.97303	 loss_hsic: 0.04790
